sat_id,n_compared,propagation_age_median_hours,residual_median_km,residual_p75_km,residual_p95_km,residual_max_km,frame_assumption
45184,324,6.51,12.953,31.498,47.957,70.97,tle:TEME->GCRS; eph:MEME(J2000)->GCRS
51801,262,5.08,2.157,2.987,4.117,5.209,tle:TEME->GCRS; eph:MEME(J2000)->GCRS
53728,258,6.62,4.966,8.129,10.491,11.841,tle:TEME->GCRS; eph:MEME(J2000)->GCRS
56416,297,6.24,2.115,4.133,7.515,9.38,tle:TEME->GCRS; eph:MEME(J2000)->GCRS
57126,288,6.01,1.709,2.733,4.216,4.922,tle:TEME->GCRS; eph:MEME(J2000)->GCRS
57249,246,5.83,1.299,4.863,32.613,36.761,tle:TEME->GCRS; eph:MEME(J2000)->GCRS
60150,280,5.53,3.258,4.375,6.186,7.281,tle:TEME->GCRS; eph:MEME(J2000)->GCRS
61866,312,6.43,0.576,1.267,2.691,4.077,tle:TEME->GCRS; eph:MEME(J2000)->GCRS
