table,row_count,satellite_count,required_fields_present,epochs_utc,duplicate_sat_epoch_rows,quality_flags,quality_flag_rows
ephemeris_state.parquet,43361358,6785,True,True,0,ok (5861 rows flagged; see quality_flag column),5861
tle_elements.parquet,51475,6684,True,True,0,ok,0
